epoch, loss, word_prediction_loss, image_prediction_loss
1, 6.3148, 6.0758, 0.2391
2, 6.2192, 5.9835, 0.2357
3, 5.9152, 5.6812, 0.2340
4, 5.2719, 5.0533, 0.2186
5, 4.8875, 4.6791, 0.2084
6, 4.7005, 4.4934, 0.2071
7, 4.5835, 4.3776, 0.2059
8, 4.4716, 4.2691, 0.2025
9, 4.4237, 4.2237, 0.2000
10, 4.3248, 4.1247, 0.2002
11, 4.2558, 4.0563, 0.1996
12, 4.2292, 4.0313, 0.1979
13, 4.1704, 3.9723, 0.1980
14, 4.1221, 3.9250, 0.1971
15, 4.1160, 3.9187, 0.1973
16, 4.0844, 3.8873, 0.1971
17, 4.0601, 3.8637, 0.1965
18, 4.0766, 3.8801, 0.1965
19, 4.0557, 3.8606, 0.1951
20, 3.9639, 3.7684, 0.1955
21, 3.9783, 3.7823, 0.1960
22, 3.9654, 3.7693, 0.1961
23, 3.9238, 3.7283, 0.1955
24, 3.9729, 3.7772, 0.1957
25, 3.9261, 3.7302, 0.1959
26, 3.9349, 3.7400, 0.1948
27, 3.9397, 3.7436, 0.1960
28, 3.9148, 3.7199, 0.1949
29, 3.9009, 3.7053, 0.1956
30, 3.8523, 3.6581, 0.1942
31, 3.8844, 3.6889, 0.1954
32, 3.8372, 3.6428, 0.1944
33, 3.8548, 3.6603, 0.1945
34, 3.8752, 3.6795, 0.1957
35, 3.8412, 3.6463, 0.1948
36, 3.8568, 3.6616, 0.1952
37, 3.8670, 3.6724, 0.1946
38, 3.8419, 3.6470, 0.1949
39, 3.8043, 3.6104, 0.1940
40, 3.8012, 3.6063, 0.1949
41, 3.8069, 3.6124, 0.1945
42, 3.8156, 3.6209, 0.1946
43, 3.8414, 3.6457, 0.1957
44, 3.8148, 3.6206, 0.1942
45, 3.8047, 3.6092, 0.1954
46, 3.7968, 3.6023, 0.1944
47, 3.8161, 3.6220, 0.1941
48, 3.7744, 3.5791, 0.1953
49, 3.7714, 3.5770, 0.1944
50, 3.7790, 3.5846, 0.1944
51, 3.7897, 3.5951, 0.1946
52, 3.7735, 3.5788, 0.1947
53, 3.7790, 3.5849, 0.1941
54, 3.7560, 3.5617, 0.1943
55, 3.7823, 3.5875, 0.1948
56, 3.7891, 3.5943, 0.1948
57, 3.7333, 3.5386, 0.1947
58, 3.7132, 3.5192, 0.1940
59, 3.7402, 3.5460, 0.1943
60, 3.7364, 3.5425, 0.1939
61, 3.7555, 3.5604, 0.1950
62, 3.7530, 3.5586, 0.1944
63, 3.7710, 3.5757, 0.1953
64, 3.7671, 3.5732, 0.1939
65, 3.7833, 3.5888, 0.1945
66, 3.7412, 3.5463, 0.1949
67, 3.7029, 3.5085, 0.1944
68, 3.7261, 3.5315, 0.1945
69, 3.7387, 3.5445, 0.1942
70, 3.7339, 3.5395, 0.1944
71, 3.7265, 3.5318, 0.1947
72, 3.7170, 3.5229, 0.1941
73, 3.7502, 3.5554, 0.1948
74, 3.7327, 3.5388, 0.1939
75, 3.7553, 3.5606, 0.1947
76, 3.7113, 3.5175, 0.1939
77, 3.7006, 3.5067, 0.1939
78, 3.7152, 3.5211, 0.1941
79, 3.6962, 3.5013, 0.1949
80, 3.7172, 3.5229, 0.1943
81, 3.7099, 3.5150, 0.1949
82, 3.7421, 3.5477, 0.1944
83, 3.7437, 3.5489, 0.1948
84, 3.7366, 3.5427, 0.1940
85, 3.7128, 3.5185, 0.1943
86, 3.6908, 3.4967, 0.1941
87, 3.7028, 3.5092, 0.1936
88, 3.6896, 3.4954, 0.1942
89, 3.7065, 3.5120, 0.1945
90, 3.6933, 3.4987, 0.1946
91, 3.7093, 3.5152, 0.1942
92, 3.7232, 3.5285, 0.1947
93, 3.7428, 3.5480, 0.1947
94, 3.7209, 3.5267, 0.1943
95, 3.6785, 3.4843, 0.1941
96, 3.6876, 3.4933, 0.1944
97, 3.6847, 3.4900, 0.1946
98, 3.6999, 3.5057, 0.1942
99, 3.6950, 3.5009, 0.1942
100, 3.7030, 3.5078, 0.1952